2015-10-26 10:54:55,914 [7] INFO  Umbraco.Core.CoreBootManager - [P5424/T1/D2] Umbraco 7.2.8 application starting on NIKOLAJASUS
2015-10-26 10:54:56,150 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Determining hash of code files on disk
2015-10-26 10:54:56,205 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Hash determined (took 52ms)
2015-10-26 10:54:56,223 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-10-26 10:54:56,292 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 65ms)
2015-10-26 10:54:56,675 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-10-26 10:54:56,677 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 2ms)
2015-10-26 10:54:56,678 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-10-26 10:54:56,681 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 3ms)
2015-10-26 10:54:56,763 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-10-26 10:54:56,766 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 5 (took 2ms)
2015-10-26 10:54:56,769 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-10-26 10:54:56,786 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 16ms)
2015-10-26 10:54:56,989 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-10-26 10:54:56,994 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 4ms)
2015-10-26 10:54:56,996 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-10-26 10:54:56,998 [7] INFO  Umbraco.Core.PluginManager - [P5424/T1/D2] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 2ms)
2015-10-26 10:54:59,842 [7] INFO  Umbraco.Core.DatabaseContext - [P5424/T1/D2] CanConnect = True
2015-10-26 10:54:59,911 [7] INFO  Umbraco.Web.Cache.CacheRefresherEventHandler - [P5424/T1/D2] Initializing Umbraco internal event handlers for cache refreshing
